#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
group_25223_+1_1_1287 -          DUF4179              PF13786.9       0.31   11.5   0.9         3    8.4   0.0   2.8   2   0   0   2   2   2   0 -
group_16236_+1_1_1035 -          DUF418               PF04235.15    0.0092   15.9   9.8    0.0092   15.9   9.8   3.0   1   1   2   3   3   3   1 -
group_15686_+1_1_1149 -          DUF4180              PF13788.9     0.0073   16.2   0.0     0.014   15.2   0.0   1.5   1   0   0   1   1   1   1 -
group_18630_+1_1_1035 -          DUF4185              PF13810.9     0.0015   17.9  13.0       4.5    6.4   0.1   6.0   3   3   4   7   7   7   5 -
group_5095_+3_3_326  -          DUF4186              PF13811.9      0.012   15.6   1.8     0.015   15.3   1.8   1.1   1   0   0   1   1   1   0 -
group_22779_+1_1_783 -          DUF4187              PF13821.9     0.0091   15.7   0.3     0.018   14.8   0.3   1.4   1   0   0   1   1   1   1 -
group_12436_+1_1_273 -          DUF4188              PF13826.9       0.11   12.7   0.0      0.16   12.3   0.0   1.2   1   0   0   1   1   1   0 -
group_3246_+1_1_1359  -          DUF4189              PF13827.9    1.1e-18   67.5   1.8   2.5e-18   66.4   1.8   1.6   1   0   0   1   1   1   1 -
group_20187_+1_1_1086 -          DUF4189              PF13827.9      0.004   17.7   0.3    0.0091   16.5   0.3   1.6   1   0   0   1   1   1   1 -
group_21597_+1_1_843  -          DUF4189              PF13827.9     0.0065   17.0   0.9    0.0065   17.0   0.9   1.9   2   0   0   2   2   2   1 -
group_10500_minus1_1_462 -          DUF4190              PF13828.9      0.055   13.2   1.5      0.13   12.0   0.1   2.3   2   0   0   2   2   2   0 -
group_21011_minus1_1_309 -          DUF4190              PF13828.9      0.055   13.2   0.2      0.14   11.9   0.0   1.7   2   0   0   2   2   2   0 -
group_25273_+1_1_219  -          DUF4191              PF13829.9        5.7    6.2   7.4       6.3    6.0   7.4   1.1   1   0   0   1   1   1   0 -
group_24324_+1_1_471  -          DUF4191              PF13829.9        6.6    6.0   8.1       1.7    7.9   5.3   1.4   1   1   1   2   2   2   0 -
group_15288_+1_1_723  -          DUF4191              PF13829.9          8    5.7   7.1      0.47    9.7   1.3   1.8   2   0   0   2   2   2   0 -
group_24495_+1_1_297 -          DUF4197              PF13852.9       0.12   12.0   0.0      0.13   12.0   0.0   1.1   1   0   0   1   1   1   0 -
group_8154_+1_1_777  -          DUF4198              PF10670.12   3.1e-54  184.4   1.9   3.7e-54  184.2   1.9   1.1   1   0   0   1   1   1   1 -
group_8274_+1_1_792  -          DUF4198              PF10670.12   1.4e-48  165.9   0.3   1.7e-48  165.7   0.3   1.1   1   0   0   1   1   1   1 -
group_6992_+1_1_486  -          DUF4198              PF10670.12     0.083   13.1   0.0      0.11   12.7   0.0   1.2   1   0   0   1   1   1   0 -
group_13276_+1_1_366 -          DUF4199              PF13858.9     0.0014   19.1   0.1    0.0015   18.9   0.1   1.1   1   0   0   1   1   1   1 -
group_21532_minus1_115_939 -          DUF420               PF04238.15     0.074   13.3   0.0      0.14   12.5   0.0   1.5   1   0   0   1   1   1   0 -
group_12986_+1_1_765       -          DUF420               PF04238.15      0.44   10.8  11.2       4.1    7.6   0.4   2.5   2   0   0   2   2   2   0 -
group_16375_+1_1_693    -          DUF4200              PF13863.9     0.0044   17.4   3.5     0.023   15.0   1.0   2.3   2   0   0   2   2   2   1 -
group_13196_+1_1_696    -          DUF4200              PF13863.9       0.02   15.2   1.6      0.53   10.6   0.2   2.5   2   1   0   2   2   2   0 -
group_13526_+1_1_723    -          DUF4200              PF13863.9      0.025   14.9   5.5      0.04   14.3   5.5   1.3   1   0   0   1   1   1   0 -
group_8106_+1_1_2730    -          DUF4200              PF13863.9      0.038   14.3   6.1      0.13   12.6   0.2   2.6   2   0   0   2   2   2   0 -
group_13779_+1_1_591    -          DUF4200              PF13863.9        0.1   13.0  16.4     0.065   13.6  13.2   2.0   1   1   1   2   2   2   0 -
group_23037_+1_1_738    -          DUF4200              PF13863.9       0.26   11.6   7.5      0.07   13.5   4.4   1.6   2   0   0   2   2   2   0 -
group_14774_+1_1_723    -          DUF4200              PF13863.9       0.34   11.2   4.6       0.5   10.7   4.0   1.6   1   1   0   1   1   1   0 -
group_14976_+1_283_1962 -          DUF4200              PF13863.9        7.9    6.9  13.4      0.15   12.4   0.6   3.6   3   1   1   4   4   4   0 -
group_9545_+1_1_1377    -          DUF4200              PF13863.9        7.9    6.8   9.0        36    4.7   3.5   2.5   2   0   0   2   2   2   0 -
group_19455_+1_1_591       -          DUF4201              PF13870.9    0.00059   19.6   9.5    0.0043   16.8   6.3   2.6   1   1   1   2   2   2   2 -
group_13779_+1_1_591       -          DUF4201              PF13870.9     0.0036   17.0   9.4     0.058   13.1   5.0   2.7   1   1   1   2   2   2   1 -
group_9270_+1_1_732        -          DUF4201              PF13870.9     0.0057   16.4   7.6    0.0057   16.4   7.6   2.9   2   1   1   3   3   3   1 -
group_7759_+1_1_252        -          DUF4201              PF13870.9      0.017   14.8   0.4     0.019   14.7   0.4   1.1   1   0   0   1   1   1   0 -
group_9545_+1_1_1377       -          DUF4201              PF13870.9      0.025   14.3   7.5      0.04   13.6   1.3   2.4   2   1   0   2   2   2   0 -
group_20248_+1_1_1980      -          DUF4201              PF13870.9       0.67    9.6   3.9       6.2    6.5   0.0   3.2   3   1   0   3   3   3   0 -
group_21905_minus1_76_1305 -          DUF4201              PF13870.9        1.9    8.1  16.2      0.61    9.8  12.5   2.0   2   0   0   2   2   2   0 -
group_23608_+1_1_1143 -          DUF4203              PF13886.9        1.3    8.6  11.9       6.7    6.3   7.7   2.3   1   1   0   2   2   2   0 -
group_17386_+1_226_1878  -          DUF4209              PF13910.9    0.00084   19.4   0.0    0.0021   18.1   0.0   1.7   1   0   0   1   1   1   1 -
group_19448_+1_1_456     -          DUF4209              PF13910.9      0.024   14.7   0.1     0.071   13.2   0.0   1.8   2   0   0   2   2   2   0 -
group_11659_minus1_1_204 -          DUF4209              PF13910.9       0.16   12.0   0.0      0.19   11.8   0.0   1.2   1   0   0   1   1   1   0 -
group_13506_+1_1_468     -          DUF4209              PF13910.9       0.17   12.0   0.0      0.63   10.2   0.0   1.9   2   0   0   2   2   2   0 -
group_17670_+1_1_600 -          DUF421               PF04239.15   1.7e-11   43.8   0.0   2.5e-11   43.3   0.0   1.3   1   0   0   1   1   1   1 -
group_16182_+1_1_513 -          DUF421               PF04239.15     2e-08   33.9   0.0   3.1e-08   33.3   0.0   1.2   1   0   0   1   1   1   1 -
group_12491_+1_1_1422 -          DUF4212              PF13937.9       0.88   10.0   4.8       7.9    6.9   1.0   2.5   2   0   0   2   2   2   0 -
group_10704_+1_1_1290   -          DUF4213              PF13938.9    6.5e-18   64.8   0.0   5.2e-17   61.9   0.0   2.2   2   0   0   2   2   2   1 -
group_612_minus1_97_345 -          DUF4213              PF13938.9      0.063   13.6   0.3     0.084   13.1   0.3   1.2   1   0   0   1   1   1   0 -
group_12253_+1_1_1305   -          DUF4213              PF13938.9       0.14   12.5   0.2      0.45   10.8   0.0   1.9   2   0   0   2   2   2   0 -
group_23580_+1_1_1254 -          DUF4214              PF13946.9    4.3e-25   87.5   0.0   2.2e-22   78.9   0.0   2.5   1   1   1   2   2   2   2 -
group_19727_+1_1_1836 -          DUF4214              PF13946.9    1.2e-23   82.9   0.0   1.5e-15   57.0   0.0   2.8   2   0   0   2   2   2   2 -
group_19250_+1_1_630  -          DUF4214              PF13946.9    0.00067   19.6   0.0    0.0013   18.7   0.0   1.4   1   0   0   1   1   1   1 -
group_6445_+1_1_1458 -          DUF4217              PF13959.9      0.038   14.1   0.1      0.66   10.2   0.1   2.5   2   0   0   2   2   2   0 -
group_1323_+1_1_1911 -          DUF4220              PF13968.9     0.0044   16.4   0.1      0.55    9.5   0.0   2.1   2   0   0   2   2   2   2 -
group_9837_+1_1_1203 -          DUF4224              PF13986.9      0.079   12.8   0.2         4    7.3   0.0   2.5   3   0   0   3   3   3   0 -
group_19696_+1_82_501 -          DUF4225              PF13988.9       0.08   12.5   0.2      0.12   11.9   0.2   1.2   1   0   0   1   1   1   0 -
group_23504_+1_1_2028 -          DUF4229              PF14012.9     0.0033   17.4   2.0    0.0033   17.4   2.0   2.1   2   0   0   2   2   2   1 -
group_7880_+1_1_381   -          DUF4229              PF14012.9      0.034   14.2   2.3     0.047   13.7   2.1   1.5   1   1   0   1   1   1   0 -
group_23268_+1_1_792  -          DUF4229              PF14012.9      0.054   13.5   4.0      0.12   12.4   4.0   1.7   1   0   0   1   1   1   0 -
group_7371_+1_1_444   -          DUF4229              PF14012.9        5.3    7.1  19.8         5    7.2   4.9   2.5   2   0   0   2   2   2   0 -
group_24000_+1_1_372  -          DUF423               PF04241.18   4.4e-07   29.9   5.4   7.9e-07   29.1   5.4   1.4   1   0   0   1   1   1   1 -
group_24188_+1_1_1332 -          DUF423               PF04241.18      0.05   13.8   3.7       1.2    9.3   0.1   3.2   3   0   0   3   3   3   0 -
group_8571_+1_1_873    -          DUF4231              PF14015.9    1.1e-10   42.0   6.2     8e-09   35.9   0.2   2.7   3   0   0   3   3   3   2 -
group_25655_+1_1_1050  -          DUF4231              PF14015.9       0.56   10.7   7.5       6.5    7.3   1.0   3.3   3   0   0   3   3   3   0 -
group_24386_+1_1_876   -          DUF4231              PF14015.9        3.1    8.3   5.0        15    6.1   0.6   2.3   2   0   0   2   2   2   0 -
group_22414_+1_1_486   -          DUF4231              PF14015.9        3.1    8.3   5.5        21    5.7   0.0   2.5   3   0   0   3   3   3   0 -
group_17587_+1_169_462 -          DUF4231              PF14015.9        9.8    6.7   8.5   1.3e+02    3.1   8.5   2.0   1   1   0   1   1   1   0 -
group_11707_+1_43_2229 -          DUF4235              PF14019.9       0.35   10.9   4.6       4.9    7.3   0.1   3.3   3   0   0   3   3   3   0 -
group_7323_+1_1_300    -          DUF4235              PF14019.9        7.3    6.7   9.7         2    8.5   0.6   2.9   2   1   1   3   3   3   0 -
group_19523_+1_1_1038 -          DUF4236              PF14020.9     0.0048   17.4   0.9     0.012   16.2   0.9   1.7   1   0   0   1   1   1   1 -
group_13810_+1_1_1176 -          DUF4238              PF14022.9    6.5e-37  127.5   0.0   8.1e-37  127.2   0.0   1.1   1   0   0   1   1   1   1 -
group_23531_+1_1_1098 -          DUF4238              PF14022.9    7.7e-31  107.6   0.0   9.8e-31  107.2   0.0   1.1   1   0   0   1   1   1   1 -
group_15937_+1_1_906  -          DUF4238              PF14022.9      3e-28   99.1   0.0   3.6e-28   98.8   0.0   1.1   1   0   0   1   1   1   1 -
group_21829_+1_1_945  -          DUF4238              PF14022.9    3.2e-27   95.7   0.0   4.1e-27   95.4   0.0   1.1   1   0   0   1   1   1   1 -
group_18812_+1_1_891  -          DUF4238              PF14022.9    3.4e-27   95.6   0.0   4.6e-27   95.2   0.0   1.2   1   0   0   1   1   1   1 -
group_19151_+1_1_882  -          DUF4238              PF14022.9    1.9e-26   93.2   0.0   2.7e-26   92.7   0.0   1.2   1   1   0   1   1   1   1 -
group_16169_+1_1_867  -          DUF4238              PF14022.9    1.4e-21   77.2   0.0   1.9e-21   76.8   0.0   1.1   1   0   0   1   1   1   1 -
group_12863_+1_1_705  -          DUF4238              PF14022.9    1.2e-15   57.7   0.0   1.5e-15   57.5   0.0   1.1   1   0   0   1   1   1   1 -
group_19592_+1_1_819  -          DUF4238              PF14022.9    2.3e-12   47.0   0.0   5.6e-12   45.7   0.0   1.6   1   1   0   1   1   1   1 -
group_22787_+1_1_924  -          DUF4238              PF14022.9    6.1e-05   22.6   0.0    0.0032   17.0   0.0   2.1   1   1   0   1   1   1   1 -
group_1772_+1_1_831  -          DUF4239              PF14023.9    3.8e-06   27.0   0.5   5.7e-06   26.4   0.5   1.2   1   0   0   1   1   1   1 -
group_24460_+1_1_807 -          DUF4239              PF14023.9     0.0016   18.4   0.1    0.0025   17.8   0.1   1.3   1   0   0   1   1   1   1 -
group_16376_+1_1_603 -          DUF4239              PF14023.9       0.37   10.6   3.1      0.38   10.6   2.3   1.5   1   1   0   1   1   1   0 -
group_14910_+1_1_453 -          DUF4239              PF14023.9       0.68    9.8   5.0       9.1    6.1   0.6   2.1   1   1   0   2   2   2   0 -
group_13195_+1_1_996 -          DUF4242              PF14026.9      0.004   17.3   0.0    0.0084   16.2   0.0   1.5   1   0   0   1   1   1   1 -
group_21252_+1_1_195 -          DUF4244              PF14029.9     0.0018   17.6   0.3    0.0029   16.9   0.3   1.6   1   0   0   1   1   1   1 -
group_19382_+1_1_4428 -          DUF4250              PF14056.9       0.46   10.5   3.3       4.7    7.3   0.0   3.3   4   0   0   4   4   4   0 -
group_15251_+1_1_924 -          DUF4252              PF14060.9      0.095   12.8   0.3       5.2    7.2   0.0   2.3   2   0   0   2   2   2   0 -
group_15836_+1_1_285  -          DUF4258              PF14076.9      0.051   13.9   0.0     0.084   13.2   0.0   1.5   1   1   0   1   1   1   0 -
group_26183_+1_1_3120 -          DUF4258              PF14076.9       0.28   11.5   0.9         5    7.5   0.0   3.0   3   0   0   3   3   3   0 -
group_21507_+1_1_534 -          DUF4260              PF14079.9    3.1e-40  136.6   3.9   3.8e-40  136.4   3.9   1.1   1   0   0   1   1   1   1 -
group_14704_+1_1_831 -          DUF4261              PF14080.9    1.4e-06   28.2   0.0   2.1e-06   27.7   0.0   1.3   1   0   0   1   1   1   1 -
group_26367_+1_1_813 -          DUF4261              PF14080.9       0.03   14.4   0.1     0.096   12.8   0.0   1.9   2   0   0   2   2   2   0 -
group_13997_+1_19_2124 -          DUF4263              PF14082.9    6.9e-05   23.1   0.1   0.00016   21.9   0.1   1.6   1   0   0   1   1   1   1 -
group_20852_+1_1_666 -          DUF4265              PF14085.9      0.054   13.5   0.0      0.12   12.4   0.0   1.6   1   1   0   1   1   1   0 -
group_17756_+1_1_396 -          DUF4267              PF14087.9    2.7e-19   69.2   8.5   3.3e-19   69.0   8.5   1.1   1   0   0   1   1   1   1 -
group_24245_+1_1_1086 -          DUF4268              PF14088.9    2.9e-26   92.1   0.0   4.4e-26   91.5   0.0   1.3   1   0   0   1   1   1   1 -
group_23652_+1_1_525 -          DUF4269              PF14091.9    3.3e-47  160.5   0.0   3.8e-47  160.3   0.0   1.0   1   0   0   1   1   1   1 -
group_18190_+1_1_291 -          DUF4269              PF14091.9       0.15   12.3   0.0      0.17   12.1   0.0   1.1   1   0   0   1   1   1   0 -
group_25023_+1_1_573 -          DUF4271              PF14093.9        3.4    7.5   9.0      0.42   10.4   1.0   2.4   1   1   1   2   2   2   0 -
group_17368_+1_1_870 -          DUF4272              PF14094.9      0.023   13.9   0.0     0.035   13.3   0.0   1.2   1   0   0   1   1   1   0 -
group_12798_+1_1_1047 -          DUF4274              PF14096.9    1.4e-08   34.5   0.3   3.1e-08   33.4   0.3   1.6   1   0   0   1   1   1   1 -
group_12879_+1_1_762  -          DUF4274              PF14096.9    1.3e-07   31.4   0.1   2.2e-07   30.7   0.1   1.4   1   0   0   1   1   1   1 -
group_18554_+1_1_573 -          DUF4276              PF14103.9    5.9e-23   82.0   0.0   6.6e-23   81.9   0.0   1.0   1   0   0   1   1   1   1 -
group_4030_+1_1_408  -          DUF4279              PF14106.9       0.16   12.2   0.0      0.26   11.5   0.0   1.4   1   1   0   1   1   1   0 -
group_15109_+1_1_840 -          DUF4282              PF14110.9      0.072   13.7   2.4      0.13   12.9   2.4   1.4   1   0   0   1   1   1   0 -
group_24764_+1_1_966 -          DUF4282              PF14110.9        9.8    6.9   7.8        26    5.5   7.8   1.6   1   0   0   1   1   1   0 -
group_11497_+1_1_669 -          DUF4286              PF14114.9    4.4e-17   62.1   0.3   8.4e-09   35.5   0.1   2.2   2   0   0   2   2   2   2 -
group_2596_+1_1_666  -          DUF4286              PF14114.9    3.2e-10   40.1   0.0   6.3e-10   39.1   0.0   1.4   1   0   0   1   1   1   1 -
group_24401_+1_1_681 -          DUF4286              PF14114.9    1.2e-08   35.0   0.0   1.3e-08   34.9   0.0   1.2   1   0   0   1   1   1   1 -
group_11145_+1_1_696 -          DUF4286              PF14114.9    1.5e-06   28.3   0.0     3e-06   27.3   0.0   1.4   1   1   0   1   1   1   1 -
group_7000_+1_1_627  -          DUF4287              PF14117.9      0.076   13.1   0.1      0.19   11.8   0.1   1.7   1   0   0   1   1   1   0 -
group_25629_+1_1_672  -          DUF429               PF04250.16     4e-34  118.1   4.1     5e-34  117.8   4.1   1.0   1   0   0   1   1   1   1 -
group_14052_+1_1_822  -          DUF429               PF04250.16   9.1e-10   38.6   0.0   1.5e-09   37.8   0.0   1.4   1   1   0   1   1   1   1 -
group_20972_+1_1_1908 -          DUF429               PF04250.16   2.1e-07   30.9   0.0   1.3e-06   28.3   0.0   2.1   1   1   0   1   1   1   1 -
group_10837_+1_1_147  -          DUF429               PF04250.16     0.016   14.9   0.0     0.016   14.9   0.0   1.0   1   0   0   1   1   1   0 -
group_18690_+1_1_324 -          DUF4298              PF14131.9     0.0067   16.4   0.0    0.0099   15.8   0.0   1.2   1   0   0   1   1   1   1 -
group_20392_+1_1_801 -          DUF4298              PF14131.9      0.051   13.5   4.4       5.7    7.0   1.2   2.6   2   0   0   2   2   2   0 -
group_23340_+1_1_654 -          DUF4304              PF14137.9      0.087   12.8   0.0      0.17   11.9   0.0   1.5   1   0   0   1   1   1   0 -
group_1253_+1_1_2823 -          DUF4307              PF14155.9      0.095   12.5   0.0     0.095   12.5   0.0   1.8   2   0   0   2   2   2   0 -
group_25482_+1_1_249 -          DUF4307              PF14155.9       0.17   11.7   2.9       1.7    8.5   0.3   2.0   1   1   1   2   2   2   0 -
group_19424_+1_1_339 -          DUF4325              PF14213.9    5.8e-16   57.9   0.4   8.3e-16   57.4   0.4   1.2   1   0   0   1   1   1   1 -
group_20160_+1_1_558 -          DUF4325              PF14213.9     0.0011   18.6   0.0    0.0018   17.9   0.0   1.3   1   0   0   1   1   1   1 -
group_16003_+1_1_564 -          DUF4325              PF14213.9       0.15   11.8   0.0      0.28   10.9   0.0   1.5   1   0   0   1   1   1   0 -
group_9554_+1_1_222  -          DUF433               PF04255.17   1.2e-22   79.4   0.1   1.5e-22   79.1   0.1   1.1   1   0   0   1   1   1   1 -
group_21272_+1_1_636 -          DUF433               PF04255.17   3.8e-13   49.1   0.1   8.5e-13   47.9   0.1   1.6   1   0   0   1   1   1   1 -
group_2506_+1_1_405  -          DUF4332              PF14229.9    2.1e-40  137.8   5.1   2.4e-40  137.6   5.1   1.0   1   0   0   1   1   1   1 -
group_11946_minus1_109_306 -          DUF4335              PF14233.9      0.054   13.3   0.4     0.054   13.3   0.4   1.1   1   0   0   1   1   1   0 -
group_11947_minus1_109_306 -          DUF4335              PF14233.9      0.089   12.6   0.5     0.086   12.6   0.5   1.1   1   0   0   1   1   1   0 -
group_14988_+1_1_690 -          DUF4336              PF14234.9    1.8e-17   63.5   0.1   8.5e-14   51.4   0.0   2.9   1   1   1   2   2   2   2 -
group_13625_+1_1_735 -          DUF4336              PF14234.9    1.9e-17   63.4   0.1   5.5e-17   61.9   0.1   1.8   1   1   0   1   1   1   1 -
group_18336_+1_1_696 -          DUF4336              PF14234.9    1.9e-11   43.7   0.1   1.2e-08   34.5   0.0   2.9   2   1   0   2   2   2   2 -
group_9553_+1_1_597  -          DUF4337              PF14235.9      1e-38  133.0   0.6   1.3e-38  132.7   0.6   1.1   1   0   0   1   1   1   1 -
group_19004_+1_1_207 -          DUF4337              PF14235.9      0.034   14.3   0.6     0.043   13.9   0.6   1.3   1   1   0   1   1   1   0 -
group_12763_+1_1_1383 -          DUF4338              PF14236.9    1.6e-13   50.4   0.0   2.6e-08   33.4   0.0   2.3   2   0   0   2   2   2   2 -
group_14563_+1_1_720 -          DUF434               PF04256.15    0.0063   16.1   0.1     0.022   14.4   0.1   1.8   2   0   0   2   2   2   1 -
group_20308_+1_1_648 -          DUF434               PF04256.15     0.011   15.4   0.0     0.022   14.4   0.0   1.4   1   0   0   1   1   1   0 -
group_12407_+1_1_414 -          DUF434               PF04256.15     0.017   14.7   0.0     0.032   13.9   0.0   1.4   1   0   0   1   1   1   0 -
group_17772_+1_1_423 -          DUF434               PF04256.15      0.19   11.4   1.3         4    7.2   0.2   2.3   1   1   1   2   2   2   0 -
group_1453_+1_1_1248 -          DUF4342              PF14242.9          3    7.9   7.6       6.6    6.8   7.6   1.5   1   0   0   1   1   1   0 -
group_19599_+1_1_912 -          DUF4344              PF14247.9      0.051   13.2   1.3         2    8.0   0.1   2.3   2   0   0   2   2   2   0 -
group_17698_+1_1_1995 -          DUF4345              PF14248.9      0.094   12.6   3.7       2.9    7.8   0.6   2.6   2   0   0   2   2   2   0 -
group_25505_+1_1_303  -          DUF4345              PF14248.9        0.1   12.5   0.9      0.12   12.3   0.9   1.1   1   0   0   1   1   1   0 -
group_10997_+1_1_705 -          DUF4349              PF14257.9     0.0065   15.8   1.4    0.0098   15.3   1.4   1.2   1   0   0   1   1   1   1 -
group_11987_+1_1_231 -          DUF4349              PF14257.9      0.073   12.4   0.2       8.9    5.6   0.0   2.0   1   1   1   2   2   2   0 -
group_14749_+1_1_648 -          DUF4349              PF14257.9      0.084   12.2   5.7     0.071   12.5   3.4   2.0   1   1   1   2   2   2   0 -
group_13331_+1_1_312 -          DUF4349              PF14257.9       0.18   11.1   0.0      0.25   10.7   0.0   1.2   1   0   0   1   1   1   0 -
group_1253_+1_1_2823 -          DUF4350              PF14258.9      0.011   15.9   0.4      0.48   10.6   0.2   2.8   2   1   0   2   2   2   0 -
group_5098_+1_1_627  -          DUF4350              PF14258.9      0.028   14.5   0.1     0.052   13.7   0.1   1.4   1   0   0   1   1   1   0 -
group_25508_+1_1_222 -          DUF4350              PF14258.9      0.057   13.6   0.0      0.06   13.5   0.0   1.1   1   0   0   1   1   1   0 -
group_18855_+1_1_924 -          DUF4350              PF14258.9      0.066   13.4   0.0      0.61   10.2   0.0   2.1   2   1   0   2   2   2   0 -
group_16441_+1_1_867 -          DUF4351              PF14261.9    0.00072   19.5   0.1    0.0013   18.7   0.1   1.4   1   0   0   1   1   1   1 -
group_14934_+1_1_402 -          DUF4355              PF14265.9       0.52   10.5   2.8      0.61   10.3   1.8   1.6   1   1   1   2   2   2   0 -
group_16124_+1_1_918 -          DUF4357              PF14267.9     0.0095   15.8   0.0     0.022   14.7   0.0   1.6   1   0   0   1   1   1   1 -
group_20460_+1_1_1323 -          DUF4363              PF14276.9       0.02   14.9   0.1        10    6.1   0.0   3.0   2   1   0   2   2   2   0 -
group_25970_+1_1_339 -          DUF4364              PF14277.9        0.2   11.4   0.0      0.29   10.8   0.0   1.2   1   0   0   1   1   1   0 -
group_14272_+1_1_633 -          DUF4364              PF14277.9       0.22   11.2   0.0      0.29   10.8   0.0   1.2   1   0   0   1   1   1   0 -
group_26284_+1_1_1335 -          DUF4365              PF14280.9    2.1e-25   89.3   0.0   3.9e-25   88.4   0.0   1.4   1   0   0   1   1   1   1 -
group_20181_+1_1_1317 -          DUF4365              PF14280.9    6.4e-22   78.0   0.0   1.2e-21   77.2   0.0   1.4   1   0   0   1   1   1   1 -
group_19227_+1_1_3417 -          DUF4365              PF14280.9    9.2e-20   71.0   0.2   5.7e-19   68.5   0.1   2.2   2   0   0   2   2   2   1 -
group_21352_+1_1_984  -          DUF4365              PF14280.9    2.8e-16   59.8   0.0   4.3e-16   59.1   0.0   1.3   1   0   0   1   1   1   1 -
group_13035_+1_1_975  -          DUF4365              PF14280.9    2.8e-12   46.8   0.0   4.5e-12   46.1   0.0   1.4   1   0   0   1   1   1   1 -
group_23576_+1_1_900  -          DUF4365              PF14280.9      0.088   12.8   0.0      0.19   11.7   0.0   1.6   1   1   0   1   1   1   0 -
group_12928_+1_1_1389 -          DUF4366              PF14283.9      0.099   12.5   0.0       0.2   11.5   0.0   1.5   1   0   0   1   1   1   0 -
group_16333_+1_1_474 -          DUF4375              PF14300.9    8.8e-14   51.8   0.0   1.3e-13   51.2   0.0   1.2   1   0   0   1   1   1   1 -
group_20722_+1_1_858 -          DUF438               PF04282.16     0.059   13.3   0.0      0.11   12.4   0.0   1.4   1   0   0   1   1   1   0 -
group_11452_+1_1_378  -          DUF4381              PF14316.9     0.0024   18.1   0.3    0.0024   18.1   0.3   1.8   2   0   0   2   2   2   1 -
group_15808_+1_1_177  -          DUF4381              PF14316.9      0.056   13.7   0.1     0.057   13.6   0.1   1.1   1   0   0   1   1   1   0 -
group_13229_+1_1_2673 -          DUF4381              PF14316.9       0.23   11.7   4.2       1.4    9.1   0.1   2.6   2   0   0   2   2   2   0 -
group_23834_+1_1_756  -          DUF4381              PF14316.9       0.27   11.5   5.1       2.5    8.3   0.2   3.0   3   0   0   3   3   3   0 -
group_23917_+1_1_1269 -          DUF4381              PF14316.9       0.66   10.2   4.8       1.1    9.5   4.4   1.6   1   1   0   1   1   1   0 -
group_25482_+1_1_249  -          DUF4381              PF14316.9       0.73   10.0   2.4      0.45   10.7   0.3   1.7   1   1   1   2   2   2   0 -
group_16836_+1_1_2010 -          DUF4381              PF14316.9        1.6    9.0   5.5       4.1    7.6   5.5   1.7   1   0   0   1   1   1   0 -
group_3707_+1_1_171  -          DUF4383              PF14325.9      0.011   16.0   6.7     0.014   15.7   6.7   1.3   1   0   0   1   1   1   0 -
group_10_+1_1_1689   -          DUF4383              PF14325.9          1    9.6   8.3      0.52   10.6   0.6   2.5   2   0   0   2   2   2   0 -
group_13624_+1_1_588 -          DUF4388              PF14332.9      0.025   14.9   0.0     0.047   14.0   0.0   1.5   1   0   0   1   1   1   0 -
group_10997_+1_1_705 -          DUF4391              PF14335.9    8.2e-55  186.1   0.0   9.3e-55  185.9   0.0   1.0   1   0   0   1   1   1   1 -
group_10210_+1_1_774 -          DUF4394              PF14339.9    1.8e-69  233.6   4.6   2.2e-69  233.3   4.6   1.1   1   0   0   1   1   1   1 -
group_21046_+1_1_375 -          DUF4395              PF14340.9     0.0046   17.3   0.3    0.0059   16.9   0.3   1.2   1   0   0   1   1   1   1 -
group_7889_+1_1_1869 -          DUF4396              PF14342.9    3.1e-38  131.3  15.2   7.4e-38  130.1  15.2   1.6   1   0   0   1   1   1   1 -
group_13276_+1_1_366 -          DUF4401              PF14351.9       0.23   10.8  14.4      0.29   10.5  14.4   1.0   1   0   0   1   1   1   0 -
group_7297_+1_1_1539  -          DUF4403              PF14356.9   1.4e-114  383.0   3.4  1.7e-114  382.8   3.4   1.0   1   0   0   1   1   1   1 -
group_24456_+1_1_1548 -          DUF4403              PF14356.9   2.1e-112  375.9   1.8  2.4e-112  375.7   1.8   1.0   1   0   0   1   1   1   1 -
group_4539_+1_1_1536  -          DUF4403              PF14356.9   3.6e-112  375.1   2.8  4.2e-112  374.9   2.8   1.0   1   0   0   1   1   1   1 -
group_11660_+1_1_1542 -          DUF4403              PF14356.9   1.5e-104  350.0   2.1  1.7e-104  349.8   2.1   1.0   1   0   0   1   1   1   1 -
group_25252_+1_1_1455 -          DUF4403              PF14356.9    3.9e-60  203.7   0.0   4.6e-60  203.4   0.0   1.0   1   0   0   1   1   1   1 -
group_16840_+1_1_1341 -          DUF4403              PF14356.9    3.2e-58  197.4   0.0   4.8e-58  196.8   0.0   1.2   1   0   0   1   1   1   1 -
group_26261_+1_1_3225  -          DUF4404              PF14357.9     0.0029   18.2   0.2       2.7    8.7   0.0   4.1   4   0   0   4   4   4   1 -
group_19606_+1_1_717   -          DUF4404              PF14357.9       0.03   14.9   0.1      0.07   13.7   0.1   1.7   2   0   0   2   2   2   0 -
